reward
12.0
18.0
11.0
20.0
25.0
32.0
20.0
13.0
18.0
24.0
15.0
33.0
23.0
41.0
39.0
14.0
18.0
18.0
33.0
14.0
12.0
11.0
9.0
12.0
28.0
15.0
32.0
16.0
45.0
33.0
27.0
16.0
18.0
28.0
23.0
25.0
20.0
45.0
11.0
12.0
9.0
17.0
11.0
12.0
16.0
18.0
9.0
9.0
17.0
33.0
21.0
16.0
23.0
11.0
16.0
59.0
11.0
14.0
13.0
19.0
16.0
16.0
20.0
32.0
19.0
16.0
29.0
14.0
22.0
11.0
22.0
21.0
30.0
8.0
18.0
20.0
19.0
14.0
11.0
10.0
21.0
12.0
11.0
12.0
18.0
19.0
32.0
12.0
12.0
24.0
46.0
47.0
38.0
20.0
49.0
42.0
19.0
12.0
16.0
31.0
