reward
204.0
181.0
339.0
187.0
228.0
396.0
175.0
227.0
285.0
346.0
283.0
148.0
328.0
164.0
205.0
227.0
163.0
237.0
203.0
214.0
159.0
151.0
163.0
217.0
203.0
181.0
215.0
217.0
228.0
239.0
289.0
187.0
296.0
372.0
208.0
216.0
169.0
169.0
186.0
167.0
180.0
299.0
158.0
165.0
187.0
228.0
353.0
363.0
165.0
259.0
258.0
192.0
161.0
159.0
190.0
183.0
235.0
166.0
225.0
165.0
212.0
296.0
186.0
201.0
167.0
190.0
196.0
184.0
185.0
201.0
198.0
221.0
176.0
169.0
199.0
423.0
201.0
227.0
263.0
288.0
235.0
265.0
177.0
220.0
238.0
215.0
199.0
163.0
191.0
270.0
182.0
161.0
213.0
337.0
185.0
200.0
199.0
365.0
248.0
214.0
