number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
34,-0.6,2023-12-12 02:44:11.826044,2023-12-12 02:46:32.346391,0 days 00:02:20.520347,960,1.894146245433558e-05,0.9456267909164118,0.003533683010345784,COMPLETE
35,-0.0,2023-12-12 02:46:32.353426,2023-12-12 02:48:56.592086,0 days 00:02:24.238660,64,0.00011791033559507605,0.952820914193016,0.006741661130356769,COMPLETE
36,-0.7,2023-12-12 02:48:56.600089,2023-12-12 02:51:19.183309,0 days 00:02:22.583220,256,0.0002091631122153765,0.9617801777579309,0.0016069593824854158,COMPLETE
37,-0.1,2023-12-12 02:51:19.191314,2023-12-12 02:53:41.932629,0 days 00:02:22.741315,192,3.355194377741243e-05,0.9417308599867412,0.0004088821305961446,COMPLETE
38,-0.7,2023-12-12 02:53:41.941720,2023-12-12 02:56:02.988531,0 days 00:02:21.046811,512,0.0003148681541669474,0.9209878906071869,0.0011681370663797074,COMPLETE
39,-0.6,2023-12-12 02:56:02.996534,2023-12-12 02:58:22.890655,0 days 00:02:19.894121,768,5.572009312762791e-05,0.9690294874755708,0.0026942905605872474,COMPLETE
40,-0.0,2023-12-12 02:58:22.900801,2023-12-12 03:00:43.952232,0 days 00:02:21.051431,320,1.93140938394135e-05,0.9642715716314862,0.008366868289840165,COMPLETE
41,-0.5,2023-12-12 03:00:43.960297,2023-12-12 03:03:02.506425,0 days 00:02:18.546128,1024,0.000576340867131846,0.9447802606175951,0.004395590773699009,COMPLETE
42,-0.2,2023-12-12 03:03:02.515499,2023-12-12 03:05:21.883920,0 days 00:02:19.368421,1024,0.0002718287822950702,0.9472144412925643,0.0023110087476968166,COMPLETE
43,-0.0,2023-12-12 03:05:21.891922,2023-12-12 03:07:42.002516,0 days 00:02:20.110594,704,0.0013023865316069666,0.9545260417081818,0.003529549513577174,COMPLETE
44,-0.6,2023-12-12 03:07:42.011658,2023-12-12 03:10:00.898151,0 days 00:02:18.886493,896,0.00014908527286264012,0.9596562820750839,0.0014314608689492568,COMPLETE
45,-0.3,2023-12-12 03:10:00.906152,2023-12-12 03:12:22.084081,0 days 00:02:21.177929,384,0.001903967530326944,0.9511532394990576,0.007080467625121338,COMPLETE
46,-0.0,2023-12-12 03:12:22.093083,2023-12-12 03:14:45.252697,0 days 00:02:23.159614,128,0.0008278401022326454,0.9425032291391017,0.002752600399061278,COMPLETE
47,-0.5,2023-12-12 03:14:45.261700,2023-12-12 03:17:05.777473,0 days 00:02:20.515773,832,0.0002765797241996237,0.9345914120920035,0.004994237955041505,COMPLETE
48,-0.3,2023-12-12 03:17:05.785476,2023-12-12 03:19:25.329094,0 days 00:02:19.543618,576,0.010631045535864641,0.9661680262204506,0.008931195062121497,COMPLETE
49,-0.6,2023-12-12 03:19:25.336603,2023-12-12 03:21:44.297467,0 days 00:02:18.960864,1024,2.7567669531282313e-05,0.9585863579725422,0.0018006022836037456,COMPLETE
50,-0.7,2023-12-12 03:21:44.305472,2023-12-12 03:24:04.345903,0 days 00:02:20.040431,704,1.6141519847068692e-05,0.9475394327893244,0.0002172275793071857,COMPLETE
51,-0.7,2023-12-12 03:24:04.353988,2023-12-12 03:26:27.510265,0 days 00:02:23.156277,192,8.565888466947488e-05,0.9935485340598614,9.467903475001284e-05,COMPLETE
52,-0.7,2023-12-12 03:26:27.517774,2023-12-12 03:28:50.147627,0 days 00:02:22.629853,192,0.0001111936711134049,0.9750566983713481,9.547313475531678e-05,COMPLETE
53,-0.0,2023-12-12 03:28:50.156629,2023-12-12 03:31:09.743386,0 days 00:02:19.586757,896,5.481203888845462e-05,0.9551394992627867,2.501759735353988e-05,COMPLETE
54,-0.3,2023-12-12 03:31:09.751389,2023-12-12 03:33:32.389434,0 days 00:02:22.638045,192,1.0871752771237087e-05,0.9820374231605712,0.00095659407735044,COMPLETE
55,-0.1,2023-12-12 03:33:32.396530,2023-12-12 03:35:55.479910,0 days 00:02:23.083380,256,2.6941501224170728e-05,0.9681152771293076,0.004166100768225567,COMPLETE
56,-0.8,2023-12-12 03:35:55.491914,2023-12-12 03:38:15.138723,0 days 00:02:19.646809,576,0.0003841730369077815,0.9731654418804054,0.0004062561867164869,COMPLETE
57,-0.5,2023-12-12 03:38:15.148232,2023-12-12 03:40:34.213215,0 days 00:02:19.064983,576,0.0001871546058942697,0.9727270530574085,0.0004605352494948759,COMPLETE
58,-0.5,2023-12-12 03:40:34.221220,2023-12-12 03:42:54.137803,0 days 00:02:19.916583,576,0.00038111530110251007,0.9617857599546198,0.0002874779281864492,COMPLETE
59,-0.0,2023-12-12 03:42:54.144848,2023-12-12 03:45:19.175779,0 days 00:02:25.030931,64,0.0006939226827393842,0.9659133930397368,0.0022218799596821492,COMPLETE
60,-0.9,2023-12-12 03:45:19.183866,2023-12-12 03:47:38.704376,0 days 00:02:19.520510,576,0.00039908985465862836,0.9531922891265922,0.000516188718058164,COMPLETE
61,-0.8,2023-12-12 03:47:38.713377,2023-12-12 03:49:58.210781,0 days 00:02:19.497404,576,0.00038918475994359595,0.9528977274870039,0.0005415381775743934,COMPLETE
62,-0.0,2023-12-12 03:49:58.218888,2023-12-12 03:52:17.972000,0 days 00:02:19.753112,576,0.00044905109687280205,0.9529930556459704,0.0005612194879142854,COMPLETE
63,-0.7,2023-12-12 03:52:17.980045,2023-12-12 03:54:37.648588,0 days 00:02:19.668543,576,0.0005710374966105517,0.9578263410106826,0.00031737442758997866,COMPLETE
64,-0.6,2023-12-12 03:54:37.656590,2023-12-12 03:56:57.942072,0 days 00:02:20.285482,576,0.00036371298666012294,0.9633469871954489,0.0007557181358687207,COMPLETE
