number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
31,200.0,2023-12-12 10:17:37.318342,2023-12-12 10:19:58.215340,0 days 00:02:20.896998,384,0.004925235050362681,0.9888617807931033,0.0016725976080190575,COMPLETE
32,200.0,2023-12-12 10:19:58.223343,2023-12-12 10:22:19.513159,0 days 00:02:21.289816,384,0.003237374316255988,0.9764553576481982,0.001228286920037187,COMPLETE
33,200.0,2023-12-12 10:22:19.521160,2023-12-12 10:24:41.443923,0 days 00:02:21.922763,384,0.015761894541460247,0.9866011889497196,0.003235466962955459,COMPLETE
34,200.0,2023-12-12 10:24:41.451923,2023-12-12 10:27:02.896443,0 days 00:02:21.444520,512,0.0012124505099888514,0.9949515752563056,0.0005922188194073642,COMPLETE
35,200.0,2023-12-12 10:27:02.903571,2023-12-12 10:29:27.582800,0 days 00:02:24.679229,128,0.0005905931211542494,0.96701508108576,0.0023275722720430794,COMPLETE
36,134.5,2023-12-12 10:29:27.590806,2023-12-12 10:31:46.300465,0 days 00:02:18.709659,896,0.002341476682421636,0.9917190050772009,0.005774825520812131,COMPLETE
37,200.0,2023-12-12 10:31:46.309546,2023-12-12 10:34:06.994831,0 days 00:02:20.685285,1024,0.006145672698337553,0.9748715017680286,0.00117070523629426,COMPLETE
38,200.0,2023-12-12 10:34:07.003833,2023-12-12 10:36:27.464640,0 days 00:02:20.460807,768,0.0022304914812208048,0.9851093114113434,0.0030959502397359625,COMPLETE
39,200.0,2023-12-12 10:36:27.472740,2023-12-12 10:38:46.000333,0 days 00:02:18.527593,576,0.001309023076959167,0.992944250806556,0.006173023942157307,COMPLETE
40,133.0,2023-12-12 10:38:46.008422,2023-12-12 10:41:05.368828,0 days 00:02:19.360406,384,0.0006150201543516962,0.9672719527425044,0.002009494145624348,COMPLETE
41,141.3,2023-12-12 10:41:05.375830,2023-12-12 10:43:24.156715,0 days 00:02:18.780885,640,0.010714532773470327,0.9820725653699591,0.003699509440978437,COMPLETE
42,200.0,2023-12-12 10:43:24.163787,2023-12-12 10:45:45.022796,0 days 00:02:20.859009,448,0.0035426396069179024,0.9769737758678799,0.002904167093324347,COMPLETE
43,200.0,2023-12-12 10:45:45.032797,2023-12-12 10:48:03.685013,0 days 00:02:18.652216,960,0.006744452244968811,0.9894537330411721,0.0020187571700696545,COMPLETE
44,200.0,2023-12-12 10:48:03.693015,2023-12-12 10:50:27.782692,0 days 00:02:24.089677,64,0.001712841657488455,0.9833162653103406,0.006350886852438915,COMPLETE
45,197.8,2023-12-12 10:50:27.790693,2023-12-12 10:52:49.580749,0 days 00:02:21.790056,192,0.022348081560978096,0.9951990194863702,0.004031541196537647,COMPLETE
46,200.0,2023-12-12 10:52:49.588749,2023-12-12 10:55:08.764017,0 days 00:02:19.175268,832,0.009906107802419161,0.977579236286803,0.0004919975426339198,COMPLETE
47,200.0,2023-12-12 10:55:08.772020,2023-12-12 10:57:29.347116,0 days 00:02:20.575096,320,0.0044578001911099235,0.9712486593554478,0.0010809602320046908,COMPLETE
48,200.0,2023-12-12 10:57:29.354120,2023-12-12 10:59:48.277321,0 days 00:02:18.923201,704,0.00329798502907685,0.9789200252504835,0.0016176960620033275,COMPLETE
49,200.0,2023-12-12 10:59:48.284322,2023-12-12 11:02:07.431889,0 days 00:02:19.147567,640,0.00017752379663727344,0.9852653556488297,0.0027905858437068825,COMPLETE
50,200.0,2023-12-12 11:02:07.439521,2023-12-12 11:04:30.843953,0 days 00:02:23.404432,128,0.02507858968526323,0.9917747685859595,0.007665119438791415,COMPLETE
51,128.9,2023-12-12 11:04:30.850954,2023-12-12 11:06:50.410834,0 days 00:02:19.559880,640,0.01378968139149671,0.9814647187256604,0.003797415064111022,COMPLETE
52,118.9,2023-12-12 11:06:50.417838,2023-12-12 11:09:10.518134,0 days 00:02:20.100296,640,0.012142290079367176,0.9811658907187005,0.0035587667885259733,COMPLETE
53,119.4,2023-12-12 11:09:10.526135,2023-12-12 11:11:29.932834,0 days 00:02:19.406699,640,0.006550140636930098,0.9752901246967666,0.005357074446886812,COMPLETE
54,126.6,2023-12-12 11:11:29.939836,2023-12-12 11:13:49.975796,0 days 00:02:20.035960,640,0.007148665872389451,0.9743178353927711,0.005345997783477204,COMPLETE
55,140.4,2023-12-12 11:13:49.983902,2023-12-12 11:16:10.288285,0 days 00:02:20.304383,512,0.006534815618466301,0.9961621961940453,0.007437252445302315,COMPLETE
