number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
30,-0.1,2023-12-12 06:00:02.880221,2023-12-12 06:01:18.434870,0 days 00:01:15.554649,457,0.9525885200129209,0.0005093920468636102,0.4032433240044325,COMPLETE
31,-0.5,2023-12-12 06:01:18.442379,2023-12-12 06:02:41.207313,0 days 00:01:22.764934,64,0.9690619341995678,0.0009271695377220467,0.23361844910412471,COMPLETE
32,-0.2,2023-12-12 06:02:41.214398,2023-12-12 06:04:07.462524,0 days 00:01:26.248126,40,0.9705433772993612,0.0012608066066631537,0.21175189250044973,COMPLETE
33,-0.0,2023-12-12 06:04:07.470524,2023-12-12 06:05:28.675277,0 days 00:01:21.204753,96,0.9800808826904022,0.0027424538907074043,0.24969648942659492,COMPLETE
34,-0.0,2023-12-12 06:05:28.683280,2023-12-12 06:06:47.565199,0 days 00:01:18.881919,151,0.957090701244826,0.0019078901136887088,0.17957002207132233,COMPLETE
35,-0.0,2023-12-12 06:06:47.573200,2023-12-12 06:08:08.805896,0 days 00:01:21.232696,91,0.965451684118951,0.0016829803867925797,0.3321679185429332,COMPLETE
36,-0.8,2023-12-12 06:08:08.814988,2023-12-12 06:09:35.019382,0 days 00:01:26.204394,40,0.9879317957307294,0.000980062677448919,0.4901706200162195,COMPLETE
37,-0.1,2023-12-12 06:09:35.027385,2023-12-12 06:10:53.081203,0 days 00:01:18.053818,262,0.9871982804337455,0.0025173092436088667,0.4997619609363749,COMPLETE
38,-0.4,2023-12-12 06:10:53.090260,2023-12-12 06:12:17.449333,0 days 00:01:24.359073,49,0.9942964451657723,0.0008521763751754284,0.44970188217751733,COMPLETE
39,-0.0,2023-12-12 06:12:17.457336,2023-12-12 06:13:35.564863,0 days 00:01:18.107527,231,0.9945665431315995,0.0003711321204557291,0.47550728354887106,COMPLETE
40,-0.1,2023-12-12 06:13:35.573864,2023-12-12 06:15:03.095568,0 days 00:01:27.521704,37,0.9874699568025816,0.005636972825710204,0.42881374227037433,COMPLETE
41,-0.1,2023-12-12 06:15:03.102569,2023-12-12 06:16:24.131990,0 days 00:01:21.029421,104,0.9836983732814149,0.0011206099807316626,0.46145626556105934,COMPLETE
42,-0.0,2023-12-12 06:16:24.140064,2023-12-12 06:17:58.829470,0 days 00:01:34.689406,21,0.9759328669206694,0.0022046384077146165,0.48578938273520306,COMPLETE
43,-0.7,2023-12-12 06:17:58.837473,2023-12-12 06:19:20.716541,0 days 00:01:21.879068,75,0.9904099084368272,0.0006810375862863357,0.4284948572142427,COMPLETE
44,-0.7,2023-12-12 06:19:20.726542,2023-12-12 06:20:40.712111,0 days 00:01:19.985569,114,0.9972732302309499,0.0015665795743713454,0.48072314757314977,COMPLETE
45,-0.5,2023-12-12 06:20:40.719113,2023-12-12 06:21:59.740214,0 days 00:01:19.021101,156,0.979958958886814,0.0009919841511484935,0.4130574586485463,COMPLETE
46,-0.1,2023-12-12 06:21:59.747216,2023-12-12 06:23:30.077574,0 days 00:01:30.330358,28,0.972805521558954,0.003066023193503004,0.4586311774955818,COMPLETE
47,-0.0,2023-12-12 06:23:30.085574,2023-12-12 06:24:46.430583,0 days 00:01:16.345009,399,0.9898913609341079,0.0007511656769457203,0.36018790599386874,COMPLETE
48,-0.0,2023-12-12 06:24:46.439584,2023-12-12 06:26:03.491322,0 days 00:01:17.051738,337,0.999589528614677,0.0010731637409237492,0.444238095420353,COMPLETE
49,-0.6,2023-12-12 06:26:03.500393,2023-12-12 06:27:18.855077,0 days 00:01:15.354684,499,0.9632296079195873,0.0017098576897454508,0.49828584909347085,COMPLETE
50,-0.0,2023-12-12 06:27:18.863079,2023-12-12 06:28:42.563408,0 days 00:01:23.700329,57,0.9815879775977826,0.0002374312822033751,0.23438890129105786,COMPLETE
51,-0.1,2023-12-12 06:28:42.571410,2023-12-12 06:30:03.843025,0 days 00:01:21.271615,79,0.9913480669306213,0.0006833392808811376,0.4313727823188721,COMPLETE
52,-0.4,2023-12-12 06:30:03.852026,2023-12-12 06:31:25.632360,0 days 00:01:21.780334,78,0.9877893629901142,0.000614372177277433,0.46017285232189525,COMPLETE
53,-0.2,2023-12-12 06:31:25.640362,2023-12-12 06:32:45.256984,0 days 00:01:19.616622,127,0.9961078583809292,0.0004682903321151928,0.41749206607363565,COMPLETE
