number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
31,200.0,2023-12-12 13:57:46.372417,2023-12-12 13:59:06.345078,0 days 00:01:19.972661,339,0.9213865968797141,1.5389400826507037e-05,0.37396321337914173,COMPLETE
32,200.0,2023-12-12 13:59:06.353069,2023-12-12 14:00:27.643367,0 days 00:01:21.290298,285,0.9430847714284435,1.0675623473648303e-05,0.38752068863796385,COMPLETE
33,200.0,2023-12-12 14:00:27.655374,2023-12-12 14:01:46.596383,0 days 00:01:18.941009,421,0.9192083066978114,3.677241851487122e-05,0.41955658242880506,COMPLETE
34,200.0,2023-12-12 14:01:46.606388,2023-12-12 14:03:06.396179,0 days 00:01:19.789791,356,0.9380386520694245,4.062773045700619e-05,0.3482927611640436,COMPLETE
35,200.0,2023-12-12 14:03:06.404182,2023-12-12 14:04:27.183889,0 days 00:01:20.779707,306,0.9462208681494125,0.00036031573610088077,0.36984509633841817,COMPLETE
36,200.0,2023-12-12 14:04:27.191882,2023-12-12 14:05:49.473507,0 days 00:01:22.281625,261,0.9367159045952534,0.00014641962564054928,0.3162529911480775,COMPLETE
37,200.0,2023-12-12 14:05:49.481498,2023-12-12 14:07:08.874772,0 days 00:01:19.393274,365,0.9429570250993979,2.323774532846328e-05,0.4034027157432125,COMPLETE
38,200.0,2023-12-12 14:07:08.882764,2023-12-12 14:08:31.757032,0 days 00:01:22.874268,129,0.9334719294276955,0.0009339913172706464,0.27967536403731996,COMPLETE
39,200.0,2023-12-12 14:08:31.766534,2023-12-12 14:09:53.776747,0 days 00:01:22.010213,191,0.9601122420365199,0.00010512539442331376,0.4341525153649594,COMPLETE
40,200.0,2023-12-12 14:09:53.784739,2023-12-12 14:11:13.335072,0 days 00:01:19.550333,425,0.9466381741360994,0.0003239803249515893,0.32048778456633586,COMPLETE
41,200.0,2023-12-12 14:11:13.343059,2023-12-12 14:12:31.704112,0 days 00:01:18.361053,480,0.9085889292067009,0.0012484553634682124,0.45196972382294787,COMPLETE
42,200.0,2023-12-12 14:12:31.711104,2023-12-12 14:13:51.003228,0 days 00:01:19.292124,390,0.9394614183044633,0.001769451024802148,0.17781721202884018,COMPLETE
43,200.0,2023-12-12 14:13:51.013220,2023-12-12 14:15:12.131891,0 days 00:01:21.118671,327,0.9354702756926895,0.0005810499612701935,0.35007102734282514,COMPLETE
44,200.0,2023-12-12 14:15:12.139883,2023-12-12 14:16:34.003010,0 days 00:01:21.863127,270,0.9625638503889795,0.001035596573584036,0.3628023779825461,COMPLETE
45,200.0,2023-12-12 14:16:34.012002,2023-12-12 14:17:52.268750,0 days 00:01:18.256748,461,0.9706416001792997,0.0015324012978473235,0.39362482652143416,COMPLETE
46,200.0,2023-12-12 14:17:52.276752,2023-12-12 14:19:13.943024,0 days 00:01:21.666272,242,0.9554199493990307,0.007781924598215931,0.38069907288545224,COMPLETE
47,200.0,2023-12-12 14:19:13.953029,2023-12-12 14:20:34.666702,0 days 00:01:20.713673,315,0.943091219030475,0.0030987939412605125,0.4160366450753794,COMPLETE
48,200.0,2023-12-12 14:20:34.674694,2023-12-12 14:21:53.478612,0 days 00:01:18.803918,412,0.9622855559720951,0.0006554919378717674,0.3031765906804403,COMPLETE
49,200.0,2023-12-12 14:21:53.486603,2023-12-12 14:23:13.428851,0 days 00:01:19.942248,351,0.9930594639073873,0.0004096355895253432,0.2733585950570711,COMPLETE
50,200.0,2023-12-12 14:23:13.436842,2023-12-12 14:24:31.847409,0 days 00:01:18.410567,451,0.9842243966481465,0.0002868459361550614,0.32305557095095344,COMPLETE
51,200.0,2023-12-12 14:24:31.854410,2023-12-12 14:25:51.749436,0 days 00:01:19.895026,382,0.9513979559695002,0.00019561496573382384,0.3604486510630057,COMPLETE
52,200.0,2023-12-12 14:25:51.757438,2023-12-12 14:27:13.688688,0 days 00:01:21.931250,223,0.9318523753766054,0.00029492274863130976,0.44833420954168524,COMPLETE
53,200.0,2023-12-12 14:27:13.696680,2023-12-12 14:28:35.237632,0 days 00:01:21.540952,240,0.9385039313889137,0.00048285578305557554,0.3375892862133639,COMPLETE
54,200.0,2023-12-12 14:28:35.245623,2023-12-12 14:29:56.911977,0 days 00:01:21.666354,269,0.9407535206826775,0.0007539007871989512,0.3985260274644098,COMPLETE
55,200.0,2023-12-12 14:29:56.920969,2023-12-12 14:31:19.327355,0 days 00:01:22.406386,177,0.9452909599955408,0.00018712186525419983,0.38026443521743614,COMPLETE
56,200.0,2023-12-12 14:31:19.337347,2023-12-12 14:32:39.867271,0 days 00:01:20.529924,311,0.9527710978582993,0.00013351063322536774,0.4682609323066138,COMPLETE
57,200.0,2023-12-12 14:32:39.876275,2023-12-12 14:34:00.045428,0 days 00:01:20.169153,340,0.949290590055363,0.00010559273072019348,0.415658483512319,COMPLETE
58,200.0,2023-12-12 14:34:00.053430,2023-12-12 14:35:28.657941,0 days 00:01:28.604511,45,0.9263682013157659,0.002537304403759711,0.1652248468758999,COMPLETE
59,200.0,2023-12-12 14:35:28.665942,2023-12-12 14:36:49.593575,0 days 00:01:20.927633,290,0.9564085490244794,0.0009624517399987296,0.29029648655172285,COMPLETE
60,200.0,2023-12-12 14:36:49.601567,2023-12-12 14:38:12.310409,0 days 00:01:22.708842,132,0.9345685522911269,0.0005097577319234591,0.3560789409890428,COMPLETE
61,200.0,2023-12-12 14:38:12.318410,2023-12-12 14:39:30.490469,0 days 00:01:18.172059,398,0.9443487352497693,0.000405184034837445,0.36867399252443644,COMPLETE
62,200.0,2023-12-12 14:39:30.498474,2023-12-12 14:40:48.888478,0 days 00:01:18.390004,445,0.9408587104317404,0.0002455135193276806,0.33382000928530586,COMPLETE
63,200.0,2023-12-12 14:40:48.897470,2023-12-12 14:42:06.907554,0 days 00:01:18.010084,473,0.9965679549826785,8.401058305884372e-05,0.38406864956765435,COMPLETE
64,200.0,2023-12-12 14:42:06.915063,2023-12-12 14:43:25.454514,0 days 00:01:18.539451,405,0.9489684399609434,0.00032551433768373417,0.26221901369818346,COMPLETE
65,200.0,2023-12-12 14:43:25.463037,2023-12-12 14:44:43.411034,0 days 00:01:17.947997,497,0.9537155903739225,0.0001303797611176677,0.404931228328716,COMPLETE
