number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
30,-82.5,2023-12-12 00:26:21.055263,2023-12-12 00:27:10.827693,0 days 00:00:49.772430,0.39346554037821274,0.9235932619357812,0.0014781380632549572,1395,COMPLETE
31,-254.3,2023-12-12 00:27:10.835696,2023-12-12 00:28:00.828109,0 days 00:00:49.992413,0.4221067757630339,0.9137087521188285,0.00015675173449436732,1646,COMPLETE
32,-185.1,2023-12-12 00:28:00.835776,2023-12-12 00:28:50.540334,0 days 00:00:49.704558,0.43604247647650735,0.9051634538347785,0.0003019381700199539,1559,COMPLETE
33,-199.8,2023-12-12 00:28:50.547336,2023-12-12 00:29:40.122308,0 days 00:00:49.574972,0.47060066993359506,0.9156839417207043,0.0001849388270361461,1303,COMPLETE
34,-216.1,2023-12-12 00:29:40.131311,2023-12-12 00:30:30.056106,0 days 00:00:49.924795,0.41802798034669186,0.9124056629972266,0.0003898787597843213,1630,COMPLETE
35,-224.9,2023-12-12 00:30:30.064109,2023-12-12 00:31:20.215725,0 days 00:00:50.151616,0.48004223089387626,0.9059226990823862,9.654544141721566e-05,1468,COMPLETE
36,-239.7,2023-12-12 00:31:20.223810,2023-12-12 00:32:10.121553,0 days 00:00:49.897743,0.4433496333330616,0.9251239581897813,0.00016774626505367096,1720,COMPLETE
37,-187.8,2023-12-12 00:32:10.132635,2023-12-12 00:33:00.244765,0 days 00:00:50.112130,0.45330468696521714,0.9250839197969121,3.9042382811727626e-05,1853,COMPLETE
38,-253.1,2023-12-12 00:33:00.252768,2023-12-12 00:33:50.180560,0 days 00:00:49.927792,0.47836823550912216,0.9171869129967977,0.00016386102773611354,1739,COMPLETE
39,-171.9,2023-12-12 00:33:50.190608,2023-12-12 00:34:39.887004,0 days 00:00:49.696396,0.4988202330894263,0.9181885348310044,9.363479339864598e-05,1949,COMPLETE
40,-295.0,2023-12-12 00:34:39.895043,2023-12-12 00:35:30.522167,0 days 00:00:50.627124,0.47417755706308684,0.9261078510954156,0.00017419488722058562,1743,COMPLETE
41,-259.2,2023-12-12 00:35:30.529168,2023-12-12 00:36:20.721017,0 days 00:00:50.191849,0.4760072711686885,0.9277683391819387,0.00016958128261716448,1734,COMPLETE
42,-231.1,2023-12-12 00:36:20.728019,2023-12-12 00:37:10.802020,0 days 00:00:50.074001,0.47673494517352377,0.9281187478397599,0.00021958820969714872,1571,COMPLETE
43,-233.6,2023-12-12 00:37:10.810019,2023-12-12 00:38:00.555370,0 days 00:00:49.745351,0.47766312062491023,0.9201504255236337,8.24329233445859e-05,1865,COMPLETE
44,-143.2,2023-12-12 00:38:00.562520,2023-12-12 00:38:50.235508,0 days 00:00:49.672988,0.46015863173748445,0.914979397262472,0.0001222506760680843,1755,COMPLETE
45,-259.9,2023-12-12 00:38:50.242564,2023-12-12 00:39:40.066785,0 days 00:00:49.824221,0.44713259309279646,0.9279172166345414,0.00018022532535125424,1992,COMPLETE
46,-220.5,2023-12-12 00:39:40.075835,2023-12-12 00:40:29.929379,0 days 00:00:49.853544,0.43960790658360677,0.9343784831744998,0.00023880859045646226,1921,COMPLETE
