agent,environment,run,reward
PPO,CartPole-v1,1,"[12.0, 15.0, 15.0, 12.0, 34.0, 50.0, 19.0, 10.0, 60.0, 48.0]"
PPO,CartPole-v1,2,"[93.0, 18.0, 23.0, 14.0, 31.0, 16.0, 56.0, 15.0, 36.0, 38.0]"
PPO,CartPole-v1,3,"[32.0, 24.0, 94.0, 15.0, 17.0, 45.0, 29.0, 21.0, 16.0, 17.0]"
PPO,CartPole-v1,4,"[18.0, 11.0, 16.0, 27.0, 17.0, 30.0, 15.0, 44.0, 40.0, 24.0]"
PPO,CartPole-v1,5,"[17.0, 35.0, 23.0, 16.0, 71.0, 25.0, 36.0, 48.0, 49.0, 23.0]"
PPO,CartPole-v1,6,"[65.0, 56.0, 49.0, 15.0, 25.0, 19.0, 49.0, 60.0, 44.0, 56.0]"
PPO,CartPole-v1,7,"[32.0, 39.0, 41.0, 30.0, 30.0, 27.0, 12.0, 48.0, 10.0, 12.0]"
PPO,CartPole-v1,8,"[21.0, 49.0, 64.0, 38.0, 16.0, 27.0, 31.0, 13.0, 10.0, 45.0]"
PPO,CartPole-v1,9,"[22.0, 35.0, 39.0, 36.0, 22.0, 49.0, 16.0, 27.0, 30.0, 33.0]"
PPO,CartPole-v1,10,"[43.0, 28.0, 40.0, 73.0, 14.0, 26.0, 21.0, 17.0, 50.0, 38.0]"
PPO,FrozenLake-v1,1,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
PPO,FrozenLake-v1,2,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
PPO,FrozenLake-v1,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PPO,FrozenLake-v1,4,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
PPO,FrozenLake-v1,5,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
PPO,FrozenLake-v1,6,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
PPO,FrozenLake-v1,7,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
