number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
35,-0.4,2023-12-12 08:05:31.999834,2023-12-12 08:06:26.596046,0 days 00:00:54.596212,0.17626884145366323,0.9175000366516055,8.055510252878835e-05,1082,COMPLETE
36,-0.4,2023-12-12 08:06:26.604420,2023-12-12 08:07:21.089235,0 days 00:00:54.484815,0.1591710776842232,0.9093481129074298,0.0001061338063898879,938,COMPLETE
37,-0.5,2023-12-12 08:07:21.097236,2023-12-12 08:08:16.152042,0 days 00:00:55.054806,0.20063398816547495,0.9224696583335407,0.0001782878298413789,1298,COMPLETE
38,-0.1,2023-12-12 08:08:16.159349,2023-12-12 08:09:10.614277,0 days 00:00:54.454928,0.2675327631104343,0.9005186259113825,0.0002811980666825865,503,COMPLETE
39,-0.2,2023-12-12 08:09:10.622278,2023-12-12 08:10:05.291372,0 days 00:00:54.669094,0.16771619446068475,0.938606944378553,2.5809368943492537e-05,823,COMPLETE
40,-0.0,2023-12-12 08:10:05.298503,2023-12-12 08:11:00.119730,0 days 00:00:54.821227,0.1197078027727765,0.9287214312778781,1.2921202350199688e-05,1153,COMPLETE
41,-0.6,2023-12-12 08:11:00.127731,2023-12-12 08:11:54.948186,0 days 00:00:54.820455,0.23509544768140234,0.9451332141592689,0.0012179304325158453,1308,COMPLETE
42,-0.5,2023-12-12 08:11:54.954187,2023-12-12 08:12:49.491164,0 days 00:00:54.536977,0.2516255364860688,0.9803967679910927,0.0009051163755844368,1630,COMPLETE
43,-0.4,2023-12-12 08:12:49.498255,2023-12-12 08:13:44.219667,0 days 00:00:54.721412,0.28232677768639985,0.9554460398087599,0.0005159992157988877,1221,COMPLETE
44,-0.7,2023-12-12 08:13:44.229669,2023-12-12 08:14:38.677204,0 days 00:00:54.447535,0.2209704407154034,0.9654334564482956,0.00039448666103443297,1033,COMPLETE
45,-0.6,2023-12-12 08:14:38.685207,2023-12-12 08:15:34.484953,0 days 00:00:55.799746,0.21983553610307002,0.9671592928263696,0.0003994616958896228,1037,COMPLETE
46,-0.6,2023-12-12 08:15:34.492955,2023-12-12 08:16:28.896188,0 days 00:00:54.403233,0.18304204042874658,0.9651937015369849,0.00015838802701708229,1001,COMPLETE
47,-0.3,2023-12-12 08:16:28.904190,2023-12-12 08:17:23.703862,0 days 00:00:54.799672,0.15549695856960766,0.9585519019579497,0.0002480852151367091,766,COMPLETE
48,-0.6,2023-12-12 08:17:23.712862,2023-12-12 08:18:18.418521,0 days 00:00:54.705659,0.13953327667679055,0.9495748210781879,0.00033625656411073854,891,COMPLETE
49,-0.5,2023-12-12 08:18:18.427523,2023-12-12 08:19:12.952852,0 days 00:00:54.525329,0.20090379911716283,0.9557805827751659,0.000169996529116869,961,COMPLETE
50,-0.8,2023-12-12 08:19:12.959851,2023-12-12 08:20:07.955917,0 days 00:00:54.996066,0.11296046901005818,0.9690046383457266,0.0002283328277268007,1059,COMPLETE
51,-0.6,2023-12-12 08:20:07.965050,2023-12-12 08:21:02.733129,0 days 00:00:54.768079,0.11259736395436325,0.9790397318377877,0.00021219920693672304,1049,COMPLETE
52,-0.8,2023-12-12 08:21:02.741131,2023-12-12 08:21:57.271870,0 days 00:00:54.530739,0.14567965932297008,0.968986041667335,0.0005864049044279543,1158,COMPLETE
53,-0.6,2023-12-12 08:21:57.372411,2023-12-12 08:22:52.057239,0 days 00:00:54.684828,0.10811927792853557,0.9685056128478808,0.0005925670975456307,1174,COMPLETE
54,-0.3,2023-12-12 08:22:52.066241,2023-12-12 08:23:46.761157,0 days 00:00:54.694916,0.14236295456371,0.9719658486926718,0.00040293669152624524,1108,COMPLETE
55,-0.6,2023-12-12 08:23:46.769366,2023-12-12 08:24:41.365268,0 days 00:00:54.595902,0.10419290618575879,0.9650282006675072,0.0003159094473450528,1401,COMPLETE
56,-0.5,2023-12-12 08:24:41.373270,2023-12-12 08:25:36.403744,0 days 00:00:55.030474,0.1613274869357901,0.9621026920574715,0.0008408965883855846,1206,COMPLETE
57,-0.3,2023-12-12 08:25:36.412749,2023-12-12 08:26:31.539756,0 days 00:00:55.127007,0.14701669360997965,0.9750639847840995,0.0005416697728938918,699,COMPLETE
58,-0.4,2023-12-12 08:26:31.546757,2023-12-12 08:27:26.077866,0 days 00:00:54.531109,0.12978631405490745,0.9701604116653969,0.0007066533456042606,868,COMPLETE
59,-0.3,2023-12-12 08:27:26.084866,2023-12-12 08:28:20.967068,0 days 00:00:54.882202,0.11887774671690444,0.9511541567806983,0.00025683596109465776,814,COMPLETE
60,-0.6,2023-12-12 08:28:20.985172,2023-12-12 08:29:15.735033,0 days 00:00:54.749861,0.17881942715871607,0.9587496587235428,0.00047345237167972906,1272,COMPLETE
