number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
35,-495.1,2023-12-11 22:40:14.026033,2023-12-11 22:41:29.443658,0 days 00:01:15.417625,163,0.9391915306226825,0.001082411617859682,0.3560636159926363,COMPLETE
36,-108.5,2023-12-11 22:41:29.450659,2023-12-11 22:42:42.393578,0 days 00:01:12.942919,233,0.9272454213606204,0.006394209852297748,0.33526194775232165,COMPLETE
37,-500.0,2023-12-11 22:42:42.401580,2023-12-11 22:43:55.822055,0 days 00:01:13.420475,346,0.952367508631887,0.0006357895780342851,0.38540807452604187,COMPLETE
38,-500.0,2023-12-11 22:43:55.829564,2023-12-11 22:45:10.997472,0 days 00:01:15.167908,278,0.9460644435230655,0.002377463122553559,0.3603340361509411,COMPLETE
39,-500.0,2023-12-11 22:45:11.004472,2023-12-11 22:46:27.852526,0 days 00:01:16.848054,100,0.935089840120621,0.0038426595511428475,0.3191788708980636,COMPLETE
40,-133.4,2023-12-11 22:46:27.860527,2023-12-11 22:47:38.563322,0 days 00:01:10.702795,469,0.9557412167339,0.0002852671265886221,0.2852761032491213,COMPLETE
41,-500.0,2023-12-11 22:47:38.571322,2023-12-11 22:48:56.200619,0 days 00:01:17.629297,89,0.9399500001881866,0.0024497307758907932,0.3002637499246847,COMPLETE
42,-182.0,2023-12-11 22:48:56.208718,2023-12-11 22:50:17.218753,0 days 00:01:21.010035,40,0.936857690627941,0.0011640444301280776,0.2562568942398483,COMPLETE
43,-271.6,2023-12-11 22:50:17.226756,2023-12-11 22:51:43.079170,0 days 00:01:25.852414,26,0.9297047224229569,0.003143302848922024,0.21390547376504873,COMPLETE
44,-500.0,2023-12-11 22:51:43.086172,2023-12-11 22:53:01.168598,0 days 00:01:18.082426,76,0.9494667689091999,0.004484883408055958,0.3522355072421115,COMPLETE
45,-140.8,2023-12-11 22:53:01.176600,2023-12-11 22:54:15.207245,0 days 00:01:14.030645,142,0.925482692580255,0.007650936912183019,0.30703581950755743,COMPLETE
46,-500.0,2023-12-11 22:54:15.215346,2023-12-11 22:56:06.982122,0 days 00:01:51.766776,9,0.9868749290636235,0.001466797739062629,0.39102031184376745,COMPLETE
47,-500.0,2023-12-11 22:56:06.991125,2023-12-11 22:57:23.493285,0 days 00:01:16.502160,104,0.9316136219061355,0.0008672276254233534,0.34176045523714266,COMPLETE
48,-205.7,2023-12-11 22:57:23.500288,2023-12-11 22:58:36.724250,0 days 00:01:13.223962,221,0.917268141014139,0.002832494784652461,0.15233244609416524,COMPLETE
49,-500.0,2023-12-11 22:58:36.731252,2023-12-11 22:59:49.139189,0 days 00:01:12.407937,429,0.9430839084644734,0.00207946473103117,0.3187271827735951,COMPLETE
50,-262.2,2023-12-11 22:59:49.146185,2023-12-11 23:01:11.333297,0 days 00:01:22.187112,35,0.9235881645825893,0.0017967457443788764,0.27673808770894187,COMPLETE
