number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
34,-500.0,2023-12-11 19:27:17.071060,2023-12-11 19:29:30.882300,0 days 00:02:13.811240,640,0.00016786123091756228,0.99336957456114,0.0018415360375189783,COMPLETE
35,-500.0,2023-12-11 19:29:30.889302,2023-12-11 19:31:45.211842,0 days 00:02:14.322540,704,0.0003125688481433562,0.9868302464088687,0.00044330973607486514,COMPLETE
36,-500.0,2023-12-11 19:31:45.219845,2023-12-11 19:34:03.016879,0 days 00:02:17.797034,64,2.882141638282195e-05,0.979055312343135,0.0007122578960409048,COMPLETE
37,-457.7,2023-12-11 19:34:03.024922,2023-12-11 19:36:16.510971,0 days 00:02:13.486049,1024,9.589058276815114e-05,0.994324285106423,9.64520267113296e-05,COMPLETE
38,-472.9,2023-12-11 19:36:16.519971,2023-12-11 19:38:30.509475,0 days 00:02:13.989504,448,0.041473834072582,0.9995361701700269,0.0001799590229702834,COMPLETE
39,-485.9,2023-12-11 19:38:30.517744,2023-12-11 19:40:44.488764,0 days 00:02:13.971020,960,0.0005158248286404241,0.9686341221837238,4.5760131414475583e-05,COMPLETE
40,-500.0,2023-12-11 19:40:44.496831,2023-12-11 19:42:57.988105,0 days 00:02:13.491274,768,0.09030888897144958,0.98556760917942,8.739407673445826e-05,COMPLETE
41,-500.0,2023-12-11 19:42:57.995111,2023-12-11 19:45:12.309719,0 days 00:02:14.314608,768,0.0006862188051101539,0.959292760085042,0.00012670233817934962,COMPLETE
42,-500.0,2023-12-11 19:45:12.317720,2023-12-11 19:47:26.411812,0 days 00:02:14.094092,768,0.00042607838548017006,0.9430089496288223,0.0002885958150722382,COMPLETE
43,-500.0,2023-12-11 19:47:26.418804,2023-12-11 19:49:40.468819,0 days 00:02:14.050015,768,0.00019199086169265477,0.9600439550418172,0.00013659446048416957,COMPLETE
44,-500.0,2023-12-11 19:49:40.475810,2023-12-11 19:51:54.219122,0 days 00:02:13.743312,896,0.00029245374593594704,0.9500842588655787,7.541991117051884e-05,COMPLETE
45,-161.2,2023-12-11 19:51:54.226713,2023-12-11 19:54:09.807973,0 days 00:02:15.581260,128,0.0006696721816401388,0.9714009045277405,3.415650597778533e-05,COMPLETE
46,-500.0,2023-12-11 19:54:09.817965,2023-12-11 19:56:23.990295,0 days 00:02:14.172330,960,0.0031250742724386097,0.9310039775077832,0.00024492990650008665,COMPLETE
47,-500.0,2023-12-11 19:56:23.997384,2023-12-11 19:58:38.096826,0 days 00:02:14.099442,704,0.005021706003927727,0.9642628587524879,0.0003739411830391472,COMPLETE
48,-500.0,2023-12-11 19:58:38.104828,2023-12-11 20:00:54.528232,0 days 00:02:16.423404,192,0.001322928486280014,0.9547858805283727,0.000109724312447566,COMPLETE
49,-390.4,2023-12-11 20:00:54.535224,2023-12-11 20:03:08.611598,0 days 00:02:14.076374,512,0.0021650897810562963,0.9958762932802818,0.00016067591290561893,COMPLETE
50,-500.0,2023-12-11 20:03:08.618589,2023-12-11 20:05:23.027387,0 days 00:02:14.408798,640,0.00012857651202037413,0.9758185491892559,6.151783876076203e-05,COMPLETE
51,-500.0,2023-12-11 20:05:23.035388,2023-12-11 20:07:37.469243,0 days 00:02:14.433855,960,0.0004290447450545953,0.9828363398341129,0.00022905850300685237,COMPLETE
52,-500.0,2023-12-11 20:07:37.581606,2023-12-11 20:09:51.873373,0 days 00:02:14.291767,960,0.0002502216782091944,0.9888635095229334,0.0001280947305181649,COMPLETE
53,-500.0,2023-12-11 20:09:51.881879,2023-12-11 20:12:10.388666,0 days 00:02:18.506787,64,0.0009103578289560576,0.9711105038094587,0.00010413615310652627,COMPLETE
54,-453.9,2023-12-11 20:12:10.396669,2023-12-11 20:14:24.445607,0 days 00:02:14.048938,960,0.0016962255597080874,0.9809018693744588,0.00016742552043992625,COMPLETE
55,-500.0,2023-12-11 20:14:24.453674,2023-12-11 20:16:39.044018,0 days 00:02:14.590344,1024,0.0004285249783767227,0.9758642157234001,0.00053069369283137,COMPLETE
56,-500.0,2023-12-11 20:16:39.051021,2023-12-11 20:18:53.256144,0 days 00:02:14.205123,832,0.0001599902159825889,0.9895211755211065,0.0002564480387572851,COMPLETE
57,-271.7,2023-12-11 20:18:53.263145,2023-12-11 20:21:09.067073,0 days 00:02:15.803928,192,0.000799600933544981,0.9646787146109222,0.0003516783556297407,COMPLETE
58,-257.0,2023-12-11 20:21:09.074075,2023-12-11 20:23:21.970178,0 days 00:02:12.896103,768,0.0005990106715547649,0.9950463180505381,6.609702667028035e-05,COMPLETE
59,-500.0,2023-12-11 20:23:21.979275,2023-12-11 20:25:36.785648,0 days 00:02:14.806373,448,0.0009932533562838303,0.9779434408205605,0.0001874421260687847,COMPLETE
60,-500.0,2023-12-11 20:25:36.792707,2023-12-11 20:27:50.637690,0 days 00:02:13.844983,576,0.0002399699098681792,0.9830836640602473,0.00011337178589869749,COMPLETE
61,-500.0,2023-12-11 20:27:50.645681,2023-12-11 20:30:04.381176,0 days 00:02:13.735495,768,0.017729288346960304,0.9470639547352354,0.0004178973860774989,COMPLETE
62,-500.0,2023-12-11 20:30:04.388242,2023-12-11 20:32:18.843914,0 days 00:02:14.455672,768,0.0003469754330854227,0.9534668540138723,0.0003016603867192821,COMPLETE
63,-500.0,2023-12-11 20:32:18.851906,2023-12-11 20:34:34.985552,0 days 00:02:16.133646,320,1.039078703539418e-05,0.9480449552740758,0.00015953907109961113,COMPLETE
64,-500.0,2023-12-11 20:34:34.993854,2023-12-11 20:36:54.557503,0 days 00:02:19.563649,256,4.6069747920368625e-05,0.9575736580477889,0.00021744430706354534,COMPLETE
65,-500.0,2023-12-11 20:36:54.564494,2023-12-11 20:39:10.189693,0 days 00:02:15.625199,384,8.076062608322403e-05,0.9872830627409276,0.0005903488470183588,COMPLETE
66,-500.0,2023-12-11 20:39:10.197695,2023-12-11 20:41:27.195616,0 days 00:02:16.997921,128,0.00011518986802490677,0.9518711892988846,0.0009064771254031256,COMPLETE
67,-500.0,2023-12-11 20:41:27.204674,2023-12-11 20:43:40.770341,0 days 00:02:13.565667,896,0.00015151884782426601,0.9622511387954307,0.0004349085768880897,COMPLETE
68,-233.7,2023-12-11 20:43:40.779344,2023-12-11 20:45:54.975328,0 days 00:02:14.195984,704,2.1192772915470758e-05,0.9907479363038149,7.760391583314036e-05,COMPLETE
69,-500.0,2023-12-11 20:45:54.983467,2023-12-11 20:48:09.181989,0 days 00:02:14.198522,768,7.157536219788753e-05,0.9556513063489959,0.00027888734071170545,COMPLETE
70,-500.0,2023-12-11 20:48:09.188990,2023-12-11 20:50:25.591865,0 days 00:02:16.402875,192,4.078738013433426e-05,0.994023280053697,0.0004761579686409604,COMPLETE
71,-196.9,2023-12-11 20:50:25.599856,2023-12-11 20:52:38.016503,0 days 00:02:12.416647,832,0.013148628286746079,0.9026975393153045,5.262481691560823e-05,COMPLETE
72,-486.3,2023-12-11 20:52:38.024584,2023-12-11 20:54:52.186847,0 days 00:02:14.162263,832,0.00020010808888578193,0.935439052706282,9.368180476495934e-05,COMPLETE
73,-500.0,2023-12-11 20:54:52.194927,2023-12-11 20:57:07.352802,0 days 00:02:15.157875,960,0.00055958808975657,0.9671101444206807,0.00020891400359769694,COMPLETE
74,-500.0,2023-12-11 20:57:07.359804,2023-12-11 20:59:22.217667,0 days 00:02:14.857863,832,0.0003177146118208099,0.9860725983359448,0.00013718850957790011,COMPLETE
75,-438.3,2023-12-11 20:59:22.224668,2023-12-11 21:01:36.820028,0 days 00:02:14.595360,768,0.007827301335863658,0.9215283155655791,0.00034461405192135006,COMPLETE
76,-500.0,2023-12-11 21:01:36.828030,2023-12-11 21:03:51.518148,0 days 00:02:14.690118,704,1.459268422231711e-05,0.9617728899685728,8.539559855726676e-05,COMPLETE
77,-500.0,2023-12-11 21:03:51.525152,2023-12-11 21:06:06.520700,0 days 00:02:14.995548,512,0.0007801179528537865,0.9700020439547185,0.00010727374355786926,COMPLETE
78,-230.9,2023-12-11 21:06:06.528965,2023-12-11 21:08:19.673057,0 days 00:02:13.144092,960,0.00010666627445933102,0.9968945146581283,0.00014881470922439654,COMPLETE
79,-500.0,2023-12-11 21:08:19.681059,2023-12-11 21:10:36.218524,0 days 00:02:16.537465,192,0.0010916376028793778,0.9662483834829987,0.00019219324009183021,COMPLETE
80,-396.3,2023-12-11 21:10:36.226034,2023-12-11 21:12:51.719547,0 days 00:02:15.493513,320,5.530585567040474e-05,0.9442460348503028,0.0002638118031846847,COMPLETE
81,-500.0,2023-12-11 21:12:51.726538,2023-12-11 21:15:08.547259,0 days 00:02:16.820721,320,3.358089558941757e-05,0.991683175906067,0.0012642757400986569,COMPLETE
82,-500.0,2023-12-11 21:15:08.555261,2023-12-11 21:17:24.344540,0 days 00:02:15.789279,320,2.4473558493021945e-05,0.9972779133013883,0.0007741837216613023,COMPLETE
83,-500.0,2023-12-11 21:17:24.352676,2023-12-11 21:19:38.299936,0 days 00:02:13.947260,640,1.061754105936077e-05,0.988273036243637,0.0005735081637212771,COMPLETE
84,-500.0,2023-12-11 21:19:38.306936,2023-12-11 21:21:57.486918,0 days 00:02:19.179982,64,0.0002024974813996117,0.9737944967823753,0.00012062494263313084,COMPLETE
85,-500.0,2023-12-11 21:21:57.494919,2023-12-11 21:24:11.876462,0 days 00:02:14.381543,768,1.4712721561201897e-05,0.9818920704037524,0.00038710319747564686,COMPLETE
86,-375.7,2023-12-11 21:24:11.884463,2023-12-11 21:26:26.710898,0 days 00:02:14.826435,576,1.9032565707580694e-05,0.9843423543273054,6.619842336180807e-05,COMPLETE
