number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
30,200.0,2023-12-12 16:06:39.945619,2023-12-12 16:07:34.590348,0 days 00:00:54.644729,0.3258787662583045,0.9939588617555853,9.421071882985921e-05,552,COMPLETE
31,200.0,2023-12-12 16:07:34.597348,2023-12-12 16:08:28.693802,0 days 00:00:54.096454,0.2870848666034731,0.9509616566381496,0.00042134246920329336,1118,COMPLETE
32,200.0,2023-12-12 16:08:28.700804,2023-12-12 16:09:23.123505,0 days 00:00:54.422701,0.32557058408318573,0.9551926414864114,0.0014205697982980613,887,COMPLETE
33,200.0,2023-12-12 16:09:23.132496,2023-12-12 16:10:17.648312,0 days 00:00:54.515816,0.37236210107342615,0.9666440699608254,0.0007537866532890368,722,COMPLETE
34,200.0,2023-12-12 16:10:17.655303,2023-12-12 16:11:12.425650,0 days 00:00:54.770347,0.25804368332628685,0.9407750771483928,0.002337243817692688,1133,COMPLETE
35,200.0,2023-12-12 16:11:12.432640,2023-12-12 16:12:07.142684,0 days 00:00:54.710044,0.3193236816595696,0.9590073771741207,0.004596826471007527,953,COMPLETE
36,200.0,2023-12-12 16:12:07.151676,2023-12-12 16:13:01.678614,0 days 00:00:54.526938,0.4704841231870349,0.9507669553973781,0.0015057492086638525,1881,COMPLETE
37,200.0,2023-12-12 16:13:01.686616,2023-12-12 16:13:56.473569,0 days 00:00:54.786953,0.3926070842567318,0.9464964734937598,0.004914222649939006,720,COMPLETE
38,200.0,2023-12-12 16:13:56.482573,2023-12-12 16:14:50.906825,0 days 00:00:54.424252,0.32878182526010513,0.9276411383322712,0.00023044491910099,1464,COMPLETE
39,200.0,2023-12-12 16:14:50.914337,2023-12-12 16:15:46.249342,0 days 00:00:55.335005,0.22611328841790485,0.9756960862738526,0.0005936559119782995,1211,COMPLETE
40,200.0,2023-12-12 16:15:46.263854,2023-12-12 16:16:40.970203,0 days 00:00:54.706349,0.30391275018420805,0.9590934384856876,0.0003911450968704192,1349,COMPLETE
41,200.0,2023-12-12 16:16:40.977209,2023-12-12 16:17:35.792981,0 days 00:00:54.815772,0.34255752210029095,0.9958417962173961,0.0009926873524982425,1200,COMPLETE
42,200.0,2023-12-12 16:17:35.800984,2023-12-12 16:18:30.664917,0 days 00:00:54.863933,0.42487917415503557,0.9826749403188593,0.001982885784574479,1046,COMPLETE
43,200.0,2023-12-12 16:18:30.672919,2023-12-12 16:19:25.404156,0 days 00:00:54.731237,0.38428851819300525,0.9901551955791218,9.791696450984339e-05,1272,COMPLETE
44,200.0,2023-12-12 16:19:25.410156,2023-12-12 16:20:20.137065,0 days 00:00:54.726909,0.4080486930169846,0.9932479173163968,0.0031234776079522193,1707,COMPLETE
45,200.0,2023-12-12 16:20:20.201241,2023-12-12 16:21:14.458958,0 days 00:00:54.257717,0.3599933267067065,0.98380669744181,7.165625975687296e-05,1930,COMPLETE
46,200.0,2023-12-12 16:21:14.465960,2023-12-12 16:22:08.827646,0 days 00:00:54.361686,0.4712038453627556,0.9788461885227628,0.00019761912126172178,965,COMPLETE
47,200.0,2023-12-12 16:22:08.836705,2023-12-12 16:23:03.397121,0 days 00:00:54.560416,0.3663641689858204,0.9994829880116083,0.0003047473447225764,1145,COMPLETE
48,200.0,2023-12-12 16:23:03.405124,2023-12-12 16:23:57.728776,0 days 00:00:54.323652,0.39355542526284326,0.9858927704603468,3.811084984650833e-05,1583,COMPLETE
49,200.0,2023-12-12 16:23:57.737778,2023-12-12 16:24:52.287048,0 days 00:00:54.549270,0.35444649222061964,0.9727890625268549,0.0005391035898060925,1475,COMPLETE
50,200.0,2023-12-12 16:24:52.296078,2023-12-12 16:25:47.114044,0 days 00:00:54.817966,0.3407128514381913,0.9691498707098684,0.00012747789207343782,1331,COMPLETE
51,200.0,2023-12-12 16:25:47.121046,2023-12-12 16:26:41.512984,0 days 00:00:54.391938,0.3091751486844357,0.9511121311720532,0.0012989499629899853,1861,COMPLETE
52,200.0,2023-12-12 16:26:41.521034,2023-12-12 16:27:36.030036,0 days 00:00:54.509002,0.42733993972360146,0.9453429072159314,0.0018529212602121507,1830,COMPLETE
53,200.0,2023-12-12 16:27:36.038038,2023-12-12 16:28:30.325286,0 days 00:00:54.287248,0.37890892813729005,0.9650044309045781,0.0012109239984747003,1752,COMPLETE
54,200.0,2023-12-12 16:28:30.334292,2023-12-12 16:29:25.092283,0 days 00:00:54.757991,0.29364488577546816,0.9912885454082483,0.00032425417401176344,1636,COMPLETE
55,200.0,2023-12-12 16:29:25.099784,2023-12-12 16:30:19.468996,0 days 00:00:54.369212,0.2652238323089232,0.9967938818901086,0.0006719399065940251,1973,COMPLETE
56,200.0,2023-12-12 16:30:19.476998,2023-12-12 16:31:13.911672,0 days 00:00:54.434674,0.27436792426920126,0.9752841472317253,0.0001890532133989416,1689,COMPLETE
57,200.0,2023-12-12 16:31:13.918734,2023-12-12 16:32:08.532814,0 days 00:00:54.614080,0.3001117845904819,0.988378896366399,0.0008954122633140459,1527,COMPLETE
58,200.0,2023-12-12 16:32:08.539999,2023-12-12 16:33:02.677309,0 days 00:00:54.137310,0.2455514015632334,0.9605345400166626,0.0004436543733221765,1948,COMPLETE
59,200.0,2023-12-12 16:33:02.684395,2023-12-12 16:33:56.928017,0 days 00:00:54.243622,0.33658753165447497,0.9542799618765249,1.159235590901754e-05,1761,COMPLETE
60,200.0,2023-12-12 16:33:56.936134,2023-12-12 16:34:51.420725,0 days 00:00:54.484591,0.34693159183034267,0.9825825805307339,0.00013752300810975453,1068,COMPLETE
61,200.0,2023-12-12 16:34:51.428728,2023-12-12 16:35:46.323059,0 days 00:00:54.894331,0.43734824799683464,0.9128343305218128,0.0010565610353049713,1357,COMPLETE
62,192.9,2023-12-12 16:35:46.330051,2023-12-12 16:36:40.864179,0 days 00:00:54.534128,0.4575825696236564,0.9683384735885614,0.0029502353959586845,1414,COMPLETE
63,200.0,2023-12-12 16:36:40.872182,2023-12-12 16:37:35.388739,0 days 00:00:54.516557,0.41351858388473084,0.963037869280532,0.0030979264565924565,1397,COMPLETE
64,200.0,2023-12-12 16:37:35.397732,2023-12-12 16:38:30.017636,0 days 00:00:54.619904,0.31261448672733494,0.9664832874235282,0.00024342123985233354,1174,COMPLETE
