reward
23.0
13.0
15.0
31.0
32.0
27.0
34.0
17.0
17.0
21.0
16.0
34.0
23.0
10.0
19.0
26.0
25.0
36.0
33.0
38.0
33.0
14.0
13.0
13.0
33.0
27.0
21.0
59.0
11.0
16.0
20.0
11.0
9.0
10.0
27.0
20.0
23.0
15.0
12.0
23.0
13.0
18.0
14.0
16.0
11.0
27.0
11.0
12.0
26.0
10.0
16.0
17.0
14.0
23.0
22.0
11.0
28.0
14.0
13.0
11.0
15.0
13.0
15.0
23.0
18.0
44.0
14.0
36.0
13.0
17.0
13.0
10.0
20.0
22.0
22.0
13.0
30.0
13.0
10.0
16.0
35.0
17.0
12.0
29.0
23.0
35.0
15.0
14.0
26.0
21.0
11.0
19.0
19.0
9.0
15.0
29.0
13.0
17.0
12.0
16.0
