reward
13.0
21.0
19.0
24.0
26.0
18.0
15.0
12.0
46.0
17.0
24.0
18.0
25.0
32.0
17.0
15.0
28.0
23.0
17.0
28.0
21.0
13.0
27.0
12.0
21.0
19.0
15.0
10.0
32.0
30.0
21.0
12.0
33.0
31.0
17.0
16.0
24.0
36.0
13.0
13.0
12.0
30.0
17.0
17.0
15.0
24.0
45.0
12.0
15.0
19.0
26.0
14.0
21.0
14.0
14.0
40.0
18.0
12.0
33.0
34.0
14.0
37.0
10.0
15.0
15.0
13.0
37.0
21.0
19.0
26.0
16.0
22.0
19.0
14.0
11.0
20.0
9.0
12.0
24.0
13.0
31.0
86.0
49.0
23.0
28.0
19.0
29.0
20.0
15.0
29.0
19.0
18.0
17.0
11.0
15.0
18.0
11.0
31.0
40.0
13.0
