reward
22.0
22.0
19.0
12.0
38.0
32.0
22.0
12.0
36.0
18.0
17.0
14.0
23.0
13.0
28.0
28.0
8.0
14.0
17.0
37.0
20.0
22.0
29.0
32.0
24.0
10.0
22.0
31.0
13.0
11.0
14.0
23.0
62.0
45.0
18.0
12.0
17.0
11.0
17.0
44.0
16.0
9.0
14.0
15.0
26.0
14.0
17.0
16.0
65.0
11.0
18.0
40.0
18.0
26.0
23.0
16.0
11.0
15.0
19.0
13.0
49.0
16.0
11.0
12.0
14.0
24.0
10.0
25.0
31.0
20.0
17.0
15.0
24.0
14.0
16.0
46.0
28.0
19.0
8.0
40.0
34.0
17.0
44.0
10.0
13.0
23.0
36.0
13.0
19.0
14.0
18.0
13.0
10.0
13.0
48.0
67.0
13.0
11.0
17.0
23.0
